nuclear_bombs_on_the_enemy;Ядерная атака по врагу;X
nuclear_bombs_on_the_enemy_desc;Наша держава недавно совершила ядерную бомбардировку врага;X
nuclear_bomb_demoralisation;Всеобщая деморализация;X
nuclear_bomb_demoralisation_desc;Против нашей страны недавно было применено смертоносное ядерное оружие, народ и армия подавлены и похоже война вскоре будет проиграна;X
province_nuclear_attaked;Провинция атакована ядерным оружием;X
nuclear_contamination;Радиоактивное заражение;X
EVTNAME195000;Держава атакована ядерным оружием;X
EVTDESC195000;В ходе войны держава $FROMCOUNTRY$ применила против нашей страны смертоносное ядерное оружие.;X
EVTOPTA195000;Это ужасно!;X
EVTNAME195001;На провницию $PROVINCENAME$ сброшена ядерная бомба!;X
EVTDESC195001;Наша провинция $PROVINCENAME$ была атакована ядерным оружием. Число жертв колоссально и оно до сих пор растет.;X
EVTOPTA195001;Кошмар!!!111;X
attack_ABU_title;Ядерная бомбардировка Абу-Даби;X
attack_ADR_title;Ядерная бомбардировка Андорры;X
attack_AFG_title;Ядерная бомбардировка Афганистана;X
attack_AIN_title;Ядерная бомбардировка Айнов;X
attack_ALB_title;Ядерная бомбардировка Албании;X
attack_ALD_title;Ядерная бомбардировка Алжира;X
attack_ANG_title;Ядерная бомбардировка Анголы;X
attack_ANH_title;Ядерная бомбардировка Ангальта;X
attack_ANT_title;Ядерная бомбардировка Антигуа;X
attack_ANU_title;Ядерная бомбардировка Анхоя;X
attack_ARA_title;Ядерная бомбардировка Арабии;X
attack_ARG_title;Ядерная бомбардировка Аргентины;X
attack_ARM_title;Ядерная бомбардировка Армении;X
attack_ARU_title;Ядерная бомбардировка Арубы;X
attack_ASM_title;Ядерная бомбардировка Ассама;X
attack_AST_title;Ядерная бомбардировка Австралии;X
attack_ATJ_title;Ядерная бомбардировка Ачеха;X
attack_AUS_title;Ядерная бомбардировка Австрии;X
attack_AWA_title;Ядерная бомбардировка Авадха;X
attack_AZB_title;Ядерная бомбардировка Азербайджана;X
attack_BAB_title;Ядерная бомбардировка Вавилона;X
attack_BAD_title;Ядерная бомбардировка Бадена;X
